trabajador,tipo_botella,replica,tipo_almacenamiento,duracion
1,plastico,1,permanent,"3,45"
1,plastico,1,end_aisle,"4,14"
1,plastico,1,cooler,"5,80"
1,plastico,2,permanent,"3,36"
1,plastico,2,end_aisle,"4,19"
1,plastico,2,cooler,"5,23"
1,vidrio-28,1,permanent,"4,07"
1,vidrio-28,1,end_aisle,"4,38"
1,vidrio-28,1,cooler,"5,48"
1,vidrio-28,2,permanent,"3,52"
1,vidrio-28,2,end_aisle,"4,26"
1,vidrio-28,2,cooler,"4,85"
1,vidrio-38,1,permanent,"4,20"
1,vidrio-38,1,end_aisle,"4,26"
1,vidrio-38,1,cooler,"5,67"
1,vidrio-38,2,permanent,"3,68"
1,vidrio-38,2,end_aisle,"4,37"
1,vidrio-38,2,cooler,"5,58"
2,plastico,1,permanent,"4,80"
2,plastico,1,end_aisle,"5,22"
2,plastico,1,cooler,"6,21"
2,plastico,2,permanent,"4,40"
2,plastico,2,end_aisle,"4,70"
2,plastico,2,cooler,"5,88"
2,vidrio-28,1,permanent,"4,52"
2,vidrio-28,1,end_aisle,"5,15"
2,vidrio-28,1,cooler,"6,25"
2,vidrio-28,2,permanent,"4,44"
2,vidrio-28,2,end_aisle,"4,65"
2,vidrio-28,2,cooler,"6,20"
2,vidrio-38,1,permanent,"4,96"
2,vidrio-38,1,end_aisle,"5,17"
2,vidrio-38,1,cooler,"6,03"
2,vidrio-38,2,permanent,"4,39"
2,vidrio-38,2,end_aisle,"4,75"
2,vidrio-38,2,cooler,"6,38"
3,plastico,1,permanent,"4,08"
3,plastico,1,end_aisle,"3,94"
3,plastico,1,cooler,"5,14"
3,plastico,2,permanent,"3,65"
3,plastico,2,end_aisle,"4,08"
3,plastico,2,cooler,"4,49"
3,vidrio-28,1,permanent,"4,30"
3,vidrio-28,1,end_aisle,"4,53"
3,vidrio-28,1,cooler,"4,99"
3,vidrio-28,2,permanent,"4,04"
3,vidrio-28,2,end_aisle,"4,08"
3,vidrio-28,2,cooler,"4,59"
3,vidrio-38,1,permanent,"4,17"
3,vidrio-38,1,end_aisle,"4,86"
3,vidrio-38,1,cooler,"4,85"
3,vidrio-38,2,permanent,"3,88"
3,vidrio-38,2,end_aisle,"4,48"
3,vidrio-38,2,cooler,"4,90"